item_id,genre,release_decade
1,Animation,1990
1,Children's,1990
1,Comedy,1990
2,Action,1990
2,Adventure,1990
2,Thriller,1990
3,Thriller,1990
4,Action,1990
4,Comedy,1990
4,Drama,1990
5,Crime,1990
5,Drama,1990
5,Thriller,1990
6,Drama,1990
7,Drama,1990
7,Sci-Fi,1990
8,Children's,1990
8,Comedy,1990
8,Drama,1990
9,Drama,1990
10,Drama,1990
10,War,1990
11,Crime,1990
11,Thriller,1990
12,Crime,1990
12,Thriller,1990
13,Comedy,1990
14,Drama,1990
14,Romance,1990
15,Drama,1990
16,Comedy,1990
16,Romance,1990
17,Action,1990
17,Comedy,1990
17,Crime,1990
17,Horror,1990
17,Thriller,1990
18,Drama,1990
19,Drama,1990
20,Drama,1990
20,Romance,1990
21,Action,1990
21,Adventure,1990
21,Comedy,1990
21,Musical,1990
21,Thriller,1990
22,Action,1990
22,Drama,1990
22,War,1990
23,Drama,1990
23,Thriller,1990
24,Action,1990
24,Adventure,1990
24,Crime,1990
25,Comedy,1990
26,Comedy,1990
27,Action,1990
28,Action,1990
28,Drama,1990
28,Thriller,1990
29,Action,1990
29,Adventure,1990
29,Comedy,1990
29,Crime,1990
30,Drama,1960
31,Drama,1990
31,Thriller,1990
31,War,1990
32,Documentary,1990
33,Action,1990
33,Romance,1990
33,Thriller,1990
34,Comedy,1990
34,Drama,1990
35,Adventure,1990
35,Children's,1990
35,Drama,1990
36,Drama,1990
36,Romance,1990
37,Drama,1990
38,Sci-Fi,1990
38,Thriller,1990
39,Action,1990
39,Crime,1990
39,Sci-Fi,1990
40,Comedy,1990
41,Comedy,1990
42,Comedy,1990
43,Drama,1990
43,Thriller,1990
44,Drama,1990
44,Thriller,1990
45,Comedy,1990
45,Drama,1990
46,Drama,1990
47,Comedy,1990
47,Drama,1990
48,Documentary,1990
49,Comedy,1990
49,Romance,1990
50,Action,1970
50,Adventure,1970
50,Romance,1970
50,Sci-Fi,1970
50,War,1970
51,Drama,1990
51,Romance,1990
51,War,1990
51,Western,1990
52,Drama,1990
53,Action,1990
53,Thriller,1990
54,Action,1990
54,Drama,1990
54,Thriller,1990
55,Crime,1990
55,Drama,1990
55,Romance,1990
55,Thriller,1990
56,Crime,1990
56,Drama,1990
57,Drama,1990
58,Drama,1990
59,Drama,1990
60,Drama,1990
61,Drama,1990
62,Action,1990
62,Adventure,1990
62,Sci-Fi,1990
63,Children's,1990
63,Comedy,1990
64,Drama,1990
65,Comedy,1990
65,Drama,1990
66,Comedy,1990
66,Romance,1990
67,Comedy,1990
68,Action,1990
68,Romance,1990
68,Thriller,1990
69,Comedy,1990
69,Romance,1990
69,War,1990
70,Comedy,1990
70,Romance,1990
71,Animation,1990
71,Children's,1990
71,Musical,1990
72,Comedy,1990
72,Crime,1990
72,Fantasy,1990
73,Action,1990
73,Comedy,1990
73,Western,1990
74,Action,1960
74,Comedy,1960
74,Drama,1960
75,Documentary,1990
76,Crime,1990
76,Drama,1990
77,Drama,1990
77,Thriller,1990
78,Adventure,1990
78,Children's,1990
78,Drama,1990
79,Action,1990
79,Thriller,1990
80,Action,1990
80,Comedy,1990
80,War,1990
81,Comedy,1990
81,Romance,1990
82,Action,1990
82,Adventure,1990
82,Sci-Fi,1990
83,Comedy,1990
83,Romance,1990
84,Horror,1990
84,Sci-Fi,1990
85,Comedy,1990
86,Drama,1990
87,Drama,1990
88,Comedy,1990
88,Romance,1990
89,Film-Noir,1980
89,Sci-Fi,1980
90,Comedy,1990
90,Romance,1990
90,Thriller,1990
91,Children's,1990
91,Comedy,1990
91,Musical,1990
92,Action,1990
92,Crime,1990
92,Romance,1990
93,Comedy,1990
93,Drama,1990
94,Children's,1990
94,Comedy,1990
95,Animation,1990
95,Children's,1990
95,Comedy,1990
95,Musical,1990
96,Action,1990
96,Sci-Fi,1990
96,Thriller,1990
97,Adventure,1990
97,Drama,1990
97,Western,1990
