user_id,gender,occupation,decades_lived
1,M,technician,20
2,F,other,50
3,M,writer,20
4,M,technician,20
5,F,other,30
6,M,executive,40
7,M,administrator,50
8,M,administrator,30
9,M,student,20
10,M,lawyer,50
11,F,other,30
12,F,other,20
13,M,educator,40
14,M,scientist,40
15,F,educator,40
16,M,entertainment,20
17,M,programmer,30
18,F,other,30
19,M,librarian,40
20,F,homemaker,40
21,M,writer,20
22,M,writer,20
23,F,artist,30
24,F,artist,20
25,M,engineer,30
26,M,engineer,40
27,F,librarian,40
28,M,writer,30
29,M,programmer,40
30,M,student,0
31,M,artist,20
32,F,student,20
33,M,student,20
34,F,administrator,30
35,F,homemaker,20
36,F,student,10
37,M,student,20
38,F,other,20
39,M,entertainment,40
40,M,scientist,30
41,M,engineer,30
42,M,administrator,30
43,F,librarian,20
44,M,technician,20
45,M,programmer,20
46,F,marketing,20
47,M,marketing,50
48,M,administrator,40
49,F,student,20
50,M,writer,20
51,M,educator,20
52,F,student,10
53,M,programmer,20
54,M,executive,20
55,M,programmer,30
56,M,librarian,20
57,M,none,10
58,M,programmer,20
59,M,educator,40
60,M,healthcare,50
61,M,engineer,30
62,F,administrator,20
63,M,marketing,30
64,M,educator,30
65,F,educator,50
66,M,student,20
67,M,student,10
68,M,student,10
69,M,engineer,20
70,M,engineer,20
71,M,scientist,30
72,F,administrator,40
73,M,student,20
74,M,scientist,30
75,M,entertainment,20
76,M,student,20
77,M,technician,30
78,M,administrator,20
79,F,administrator,30
80,F,administrator,30
81,M,student,20
82,M,programmer,50
83,M,other,40
84,M,executive,30
85,M,educator,50
86,M,administrator,20
87,M,administrator,40
88,F,librarian,40
89,F,administrator,40
90,M,educator,60
91,M,marketing,50
92,M,entertainment,30
93,M,executive,40
94,M,student,20
95,M,administrator,30
96,F,artist,20
97,M,artist,40
98,F,executive,40
99,M,student,20
100,M,executive,30
101,M,student,10
102,M,programmer,30
103,M,student,20
104,M,student,20
105,M,engineer,20
106,M,retired,60
107,M,scientist,30
108,M,educator,40
109,M,other,20
110,M,student,10
111,M,engineer,50
112,M,salesman,30
113,M,executive,40
114,M,programmer,20
115,M,engineer,30
116,M,healthcare,40
117,M,student,20
118,M,administrator,20
119,M,programmer,30
120,F,other,40
121,M,librarian,50
122,F,writer,30
123,F,artist,40
124,M,student,30
125,M,lawyer,30
126,F,lawyer,20
127,M,none,30
128,F,marketing,20
129,F,marketing,30
130,M,none,20
131,F,administrator,50
132,M,other,20
133,M,engineer,50
134,M,programmer,30
135,M,student,20
136,M,other,50
137,M,educator,50
138,M,doctor,40
139,M,student,20
140,F,student,30
141,M,programmer,40
142,M,other,10
143,M,technician,40
144,M,programmer,50
145,M,entertainment,30
146,M,artist,40
147,F,librarian,40
148,M,engineer,30
149,F,marketing,30
150,F,artist,20
151,F,administrator,30
152,F,educator,30
153,M,student,20
154,M,student,20
155,F,other,30
156,M,educator,20
157,M,engineer,50
158,M,educator,50
159,F,student,20
160,M,programmer,20
161,M,lawyer,50
162,M,artist,20
163,M,administrator,40
164,M,healthcare,40
165,F,other,20
166,M,educator,40
167,M,other,30
168,M,other,40
169,F,other,50
170,F,healthcare,50
171,F,educator,40
172,M,marketing,50
173,M,other,50
174,F,administrator,30
175,F,scientist,20
176,M,scientist,20
