item_id,movie_title,genre,genre_enc,release_decade,release_decade_enc
0,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']","[3, 4, 5]",1990,7
1,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']","[1, 2, 16]",1990,7
2,Four Rooms (1995),['Thriller'],[16],1990,7
3,Get Shorty (1995),"['Action', 'Comedy', 'Drama']","[1, 5, 8]",1990,7
4,Copycat (1995),"['Crime', 'Drama', 'Thriller']","[6, 8, 16]",1990,7
5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],[8],1990,7
6,Twelve Monkeys (1995),"['Drama', 'Sci-Fi']","[8, 15]",1990,7
7,Babe (1995),"[""Children's"", 'Comedy', 'Drama']","[4, 5, 8]",1990,7
8,Dead Man Walking (1995),['Drama'],[8],1990,7
9,Richard III (1995),"['Drama', 'War']","[8, 17]",1990,7
10,Seven (Se7en) (1995),"['Crime', 'Thriller']","[6, 16]",1990,7
11,"Usual Suspects, The (1995)","['Crime', 'Thriller']","[6, 16]",1990,7
12,Mighty Aphrodite (1995),['Comedy'],[5],1990,7
13,"Postino, Il (1994)","['Drama', 'Romance']","[8, 14]",1990,7
14,Mr. Holland's Opus (1995),['Drama'],[8],1990,7
15,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']","[5, 14]",1990,7
16,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']","[1, 5, 6, 11, 16]",1990,7
17,"White Balloon, The (1995)",['Drama'],[8],1990,7
18,Antonia's Line (1995),['Drama'],[8],1990,7
19,Angels and Insects (1995),"['Drama', 'Romance']","[8, 14]",1990,7
20,Muppet Treasure Island (1996),"['Action', 'Adventure', 'Comedy', 'Musical', 'Thriller']","[1, 2, 5, 12, 16]",1990,7
21,Braveheart (1995),"['Action', 'Drama', 'War']","[1, 8, 17]",1990,7
22,Taxi Driver (1976),"['Drama', 'Thriller']","[8, 16]",1990,7
23,Rumble in the Bronx (1995),"['Action', 'Adventure', 'Crime']","[1, 2, 6]",1990,7
24,"Birdcage, The (1996)",['Comedy'],[5],1990,7
25,"Brothers McMullen, The (1995)",['Comedy'],[5],1990,7
26,Bad Boys (1995),['Action'],[1],1990,7
27,Apollo 13 (1995),"['Action', 'Drama', 'Thriller']","[1, 8, 16]",1990,7
28,Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']","[1, 2, 5, 6]",1990,7
29,Belle de jour (1967),['Drama'],[8],1960,4
30,Crimson Tide (1995),"['Drama', 'Thriller', 'War']","[8, 16, 17]",1990,7
31,Crumb (1994),['Documentary'],[7],1990,7
32,Desperado (1995),"['Action', 'Romance', 'Thriller']","[1, 14, 16]",1990,7
33,"Doom Generation, The (1995)","['Comedy', 'Drama']","[5, 8]",1990,7
34,Free Willy 2: The Adventure Home (1995),"['Adventure', ""Children's"", 'Drama']","[2, 4, 8]",1990,7
35,Mad Love (1995),"['Drama', 'Romance']","[8, 14]",1990,7
36,Nadja (1994),['Drama'],[8],1990,7
37,"Net, The (1995)","['Sci-Fi', 'Thriller']","[15, 16]",1990,7
38,Strange Days (1995),"['Action', 'Crime', 'Sci-Fi']","[1, 6, 15]",1990,7
39,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Comedy'],[5],1990,7
40,Billy Madison (1995),['Comedy'],[5],1990,7
41,Clerks (1994),['Comedy'],[5],1990,7
42,Disclosure (1994),"['Drama', 'Thriller']","[8, 16]",1990,7
43,Dolores Claiborne (1994),"['Drama', 'Thriller']","[8, 16]",1990,7
44,Eat Drink Man Woman (1994),"['Comedy', 'Drama']","[5, 8]",1990,7
45,Exotica (1994),['Drama'],[8],1990,7
46,Ed Wood (1994),"['Comedy', 'Drama']","[5, 8]",1990,7
47,Hoop Dreams (1994),['Documentary'],[7],1990,7
48,I.Q. (1994),"['Comedy', 'Romance']","[5, 14]",1990,7
49,Star Wars (1977),"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'War']","[1, 2, 14, 15, 17]",1970,5
50,Legends of the Fall (1994),"['Drama', 'Romance', 'War', 'Western']","[8, 14, 17, 18]",1990,7
51,"Madness of King George, The (1994)",['Drama'],[8],1990,7
52,Natural Born Killers (1994),"['Action', 'Thriller']","[1, 16]",1990,7
53,Outbreak (1995),"['Action', 'Drama', 'Thriller']","[1, 8, 16]",1990,7
54,"Professional, The (1994)","['Crime', 'Drama', 'Romance', 'Thriller']","[6, 8, 14, 16]",1990,7
55,Pulp Fiction (1994),"['Crime', 'Drama']","[6, 8]",1990,7
56,Priest (1994),['Drama'],[8],1990,7
57,Quiz Show (1994),['Drama'],[8],1990,7
58,Three Colors: Red (1994),['Drama'],[8],1990,7
59,Three Colors: Blue (1993),['Drama'],[8],1990,7
60,Three Colors: White (1994),['Drama'],[8],1990,7
61,Stargate (1994),"['Action', 'Adventure', 'Sci-Fi']","[1, 2, 15]",1990,7
62,"Santa Clause, The (1994)","[""Children's"", 'Comedy']","[4, 5]",1990,7
63,"Shawshank Redemption, The (1994)",['Drama'],[8],1990,7
64,What's Eating Gilbert Grape (1993),"['Comedy', 'Drama']","[5, 8]",1990,7
65,While You Were Sleeping (1995),"['Comedy', 'Romance']","[5, 14]",1990,7
66,Ace Ventura: Pet Detective (1994),['Comedy'],[5],1990,7
67,"Crow, The (1994)","['Action', 'Romance', 'Thriller']","[1, 14, 16]",1990,7
68,Forrest Gump (1994),"['Comedy', 'Romance', 'War']","[5, 14, 17]",1990,7
69,Four Weddings and a Funeral (1994),"['Comedy', 'Romance']","[5, 14]",1990,7
70,"Lion King, The (1994)","['Animation', ""Children's"", 'Musical']","[3, 4, 12]",1990,7
71,"Mask, The (1994)","['Comedy', 'Crime', 'Fantasy']","[5, 6, 9]",1990,7
72,Maverick (1994),"['Action', 'Comedy', 'Western']","[1, 5, 18]",1990,7
73,Faster Pussycat! Kill! Kill! (1965),"['Action', 'Comedy', 'Drama']","[1, 5, 8]",1960,4
74,Brother Minister: The Assassination of Malcolm X (1994),['Documentary'],[7],1990,7
75,Carlito's Way (1993),"['Crime', 'Drama']","[6, 8]",1990,7
76,"Firm, The (1993)","['Drama', 'Thriller']","[8, 16]",1990,7
77,Free Willy (1993),"['Adventure', ""Children's"", 'Drama']","[2, 4, 8]",1990,7
78,"Fugitive, The (1993)","['Action', 'Thriller']","[1, 16]",1990,7
79,Hot Shots! Part Deux (1993),"['Action', 'Comedy', 'War']","[1, 5, 17]",1990,7
80,"Hudsucker Proxy, The (1994)","['Comedy', 'Romance']","[5, 14]",1990,7
81,Jurassic Park (1993),"['Action', 'Adventure', 'Sci-Fi']","[1, 2, 15]",1990,7
82,Much Ado About Nothing (1993),"['Comedy', 'Romance']","[5, 14]",1990,7
83,Robert A. Heinlein's The Puppet Masters (1994),"['Horror', 'Sci-Fi']","[11, 15]",1990,7
84,"Ref, The (1994)",['Comedy'],[5],1990,7
85,"Remains of the Day, The (1993)",['Drama'],[8],1990,7
