user_id,gender,occupation,decades_lived,gender_enc,occupation_enc,decades_lived_enc
0,M,technician,20,1,19,2
1,F,other,50,0,13,5
2,M,writer,20,1,20,2
3,M,technician,20,1,19,2
4,F,other,30,0,13,3
5,M,executive,40,1,6,4
6,M,administrator,50,1,0,5
7,M,administrator,30,1,0,3
8,M,student,20,1,18,2
9,M,lawyer,50,1,9,5
10,F,other,30,0,13,3
11,F,other,20,0,13,2
12,M,educator,40,1,3,4
13,M,scientist,40,1,17,4
14,F,educator,40,0,3,4
15,M,entertainment,20,1,5,2
16,M,programmer,30,1,14,3
17,F,other,30,0,13,3
18,M,librarian,40,1,10,4
19,F,homemaker,40,0,8,4
20,M,writer,20,1,20,2
21,M,writer,20,1,20,2
22,F,artist,30,0,1,3
23,F,artist,20,0,1,2
24,M,engineer,30,1,4,3
25,M,engineer,40,1,4,4
26,F,librarian,40,0,10,4
27,M,writer,30,1,20,3
28,M,programmer,40,1,14,4
29,M,student,0,1,18,0
30,M,artist,20,1,1,2
31,F,student,20,0,18,2
32,M,student,20,1,18,2
33,F,administrator,30,0,0,3
34,F,homemaker,20,0,8,2
35,F,student,10,0,18,1
36,M,student,20,1,18,2
37,F,other,20,0,13,2
38,M,entertainment,40,1,5,4
39,M,scientist,30,1,17,3
40,M,engineer,30,1,4,3
41,M,administrator,30,1,0,3
42,F,librarian,20,0,10,2
43,M,technician,20,1,19,2
44,M,programmer,20,1,14,2
45,F,marketing,20,0,11,2
46,M,marketing,50,1,11,5
47,M,administrator,40,1,0,4
48,F,student,20,0,18,2
49,M,writer,20,1,20,2
50,M,educator,20,1,3,2
51,F,student,10,0,18,1
52,M,programmer,20,1,14,2
53,M,executive,20,1,6,2
54,M,programmer,30,1,14,3
55,M,librarian,20,1,10,2
56,M,none,10,1,12,1
57,M,programmer,20,1,14,2
58,M,educator,40,1,3,4
59,M,healthcare,50,1,7,5
60,M,engineer,30,1,4,3
61,F,administrator,20,0,0,2
62,M,marketing,30,1,11,3
63,M,educator,30,1,3,3
64,F,educator,50,0,3,5
65,M,student,20,1,18,2
66,M,student,10,1,18,1
67,M,student,10,1,18,1
68,M,engineer,20,1,4,2
69,M,engineer,20,1,4,2
70,M,scientist,30,1,17,3
71,F,administrator,40,0,0,4
72,M,student,20,1,18,2
73,M,scientist,30,1,17,3
74,M,entertainment,20,1,5,2
75,M,student,20,1,18,2
76,M,technician,30,1,19,3
77,M,administrator,20,1,0,2
78,F,administrator,30,0,0,3
79,F,administrator,30,0,0,3
80,M,student,20,1,18,2
81,M,programmer,50,1,14,5
82,M,other,40,1,13,4
83,M,executive,30,1,6,3
84,M,educator,50,1,3,5
85,M,administrator,20,1,0,2
86,M,administrator,40,1,0,4
87,F,librarian,40,0,10,4
88,F,administrator,40,0,0,4
89,M,educator,60,1,3,6
90,M,marketing,50,1,11,5
91,M,entertainment,30,1,5,3
92,M,executive,40,1,6,4
93,M,student,20,1,18,2
94,M,administrator,30,1,0,3
95,F,artist,20,0,1,2
96,M,artist,40,1,1,4
97,F,executive,40,0,6,4
98,M,student,20,1,18,2
99,M,executive,30,1,6,3
100,M,student,10,1,18,1
101,M,programmer,30,1,14,3
102,M,student,20,1,18,2
103,M,student,20,1,18,2
104,M,engineer,20,1,4,2
105,M,retired,60,1,15,6
106,M,scientist,30,1,17,3
107,M,educator,40,1,3,4
108,M,other,20,1,13,2
109,M,student,10,1,18,1
110,M,engineer,50,1,4,5
111,M,salesman,30,1,16,3
112,M,executive,40,1,6,4
113,M,programmer,20,1,14,2
114,M,engineer,30,1,4,3
115,M,healthcare,40,1,7,4
116,M,student,20,1,18,2
117,M,administrator,20,1,0,2
118,M,programmer,30,1,14,3
119,F,other,40,0,13,4
120,M,librarian,50,1,10,5
121,F,writer,30,0,20,3
122,F,artist,40,0,1,4
123,M,student,30,1,18,3
124,M,lawyer,30,1,9,3
125,F,lawyer,20,0,9,2
126,M,none,30,1,12,3
127,F,marketing,20,0,11,2
128,F,marketing,30,0,11,3
129,M,none,20,1,12,2
130,F,administrator,50,0,0,5
131,M,other,20,1,13,2
132,M,engineer,50,1,4,5
133,M,programmer,30,1,14,3
134,M,student,20,1,18,2
135,M,other,50,1,13,5
136,M,educator,50,1,3,5
137,M,doctor,40,1,2,4
138,M,student,20,1,18,2
139,F,student,30,0,18,3
140,M,programmer,40,1,14,4
141,M,other,10,1,13,1
142,M,technician,40,1,19,4
143,M,programmer,50,1,14,5
144,M,entertainment,30,1,5,3
145,M,artist,40,1,1,4
146,F,librarian,40,0,10,4
147,M,engineer,30,1,4,3
148,F,marketing,30,0,11,3
149,F,artist,20,0,1,2
150,F,administrator,30,0,0,3
151,F,educator,30,0,3,3
152,M,student,20,1,18,2
153,M,student,20,1,18,2
154,F,other,30,0,13,3
155,M,educator,20,1,3,2
156,M,engineer,50,1,4,5
157,M,educator,50,1,3,5
158,F,student,20,0,18,2
159,M,programmer,20,1,14,2
160,M,lawyer,50,1,9,5
161,M,artist,20,1,1,2
162,M,administrator,40,1,0,4
163,M,healthcare,40,1,7,4
164,F,other,20,0,13,2
165,M,educator,40,1,3,4
166,M,other,30,1,13,3
167,M,other,40,1,13,4
168,F,other,50,0,13,5
169,F,healthcare,50,0,7,5
170,F,educator,40,0,3,4
171,M,marketing,50,1,11,5
172,M,other,50,1,13,5
173,F,administrator,30,0,0,3
174,F,scientist,20,0,17,2
175,M,scientist,20,1,17,2
176,M,programmer,20,1,14,2
177,M,other,20,1,13,2
