user_id,gender_enc,occupation_enc,decades_lived_enc,genre_enc,release_decade_enc
114,[1],[4],[3],"[5, 8, 11, 14]",[5]
298,[1],[2],[2],"[5, 8, 11, 14]",[5]
159,[1],[14],[2],"[5, 8, 11, 14]",[5]
144,[1],[5],[3],"[5, 8, 11, 14]",[5]
215,[1],[4],[2],"[5, 8, 11, 14]",[5]
270,[1],[4],[5],"[5, 8, 11, 14]",[5]
292,[1],[20],[2],"[5, 8, 11, 14]",[5]
304,[1],[14],[2],"[5, 8, 11, 14]",[5]
89,[1],[3],[6],"[5, 8, 11, 14]",[5]
12,[1],[3],[4],"[5, 8, 11, 14]",[5]
25,[1],[4],[4],"[5, 8, 11, 14]",[5]
275,[1],[18],[2],"[5, 8, 11, 14]",[5]
14,[0],[3],[4],"[5, 8, 11, 14]",[5]
231,[1],[17],[4],"[5, 8, 11, 14]",[5]
302,[1],[18],[1],"[5, 8, 11, 14]",[5]
228,[0],[10],[2],"[5, 8, 11, 14]",[5]
177,[1],[13],[2],"[5, 8, 11, 14]",[5]
13,[1],[17],[4],"[5, 8, 11, 14]",[5]
15,[1],[5],[2],"[5, 8, 11, 14]",[5]
153,[1],[18],[2],"[5, 8, 11, 14]",[5]
190,[1],[0],[3],"[5, 8, 11, 14]",[5]
206,[1],[11],[3],"[5, 8, 11, 14]",[5]
176,[1],[14],[2],"[5, 8, 11, 14]",[5]
42,[0],[10],[2],"[5, 8, 11, 14]",[5]
93,[1],[18],[2],"[5, 8, 11, 14]",[5]
103,[1],[18],[2],"[5, 8, 11, 14]",[5]
110,[1],[4],[5],"[5, 8, 11, 14]",[5]
213,[0],[10],[2],"[5, 8, 11, 14]",[5]
284,[1],[14],[2],"[5, 8, 11, 14]",[5]
53,[1],[6],[2],"[5, 8, 11, 14]",[5]
9,[1],[9],[5],"[5, 8, 11, 14]",[5]
5,[1],[6],[4],"[5, 8, 11, 14]",[5]
106,[1],[17],[3],"[5, 8, 11, 14]",[5]
172,[1],[13],[5],"[5, 8, 11, 14]",[5]
48,[0],[18],[2],"[5, 8, 11, 14]",[5]
125,[0],[9],[2],"[5, 8, 11, 14]",[5]
28,[1],[14],[4],"[5, 8, 11, 14]",[5]
68,[1],[4],[2],"[5, 8, 11, 14]",[5]
283,[1],[6],[4],"[5, 8, 11, 14]",[5]
296,[0],[3],[2],"[5, 8, 11, 14]",[5]
209,[1],[4],[3],"[5, 8, 11, 14]",[5]
1,[0],[13],[5],"[5, 8, 11, 14]",[5]
184,[0],[10],[5],"[5, 8, 11, 14]",[5]
276,[0],[0],[3],"[5, 8, 11, 14]",[5]
205,[0],[18],[1],"[5, 8, 11, 14]",[5]
189,[1],[0],[3],"[5, 8, 11, 14]",[5]
99,[1],[6],[3],"[5, 8, 11, 14]",[5]
104,[1],[4],[2],"[5, 8, 11, 14]",[5]
281,[1],[0],[2],"[5, 8, 11, 14]",[5]
203,[0],[10],[5],"[5, 8, 11, 14]",[5]
314,[1],[3],[3],"[5, 8, 11, 14]",[5]
239,[0],[3],[2],"[5, 8, 11, 14]",[5]
200,[1],[20],[2],"[5, 8, 11, 14]",[5]
267,[1],[4],[2],"[5, 8, 11, 14]",[5]
111,[1],[16],[3],"[5, 8, 11, 14]",[5]
318,[1],[14],[3],"[5, 8, 11, 14]",[5]
139,[0],[18],[3],"[5, 8, 11, 14]",[5]
51,[0],[18],[1],"[5, 8, 11, 14]",[5]
130,[0],[0],[5],"[5, 8, 11, 14]",[5]
248,[1],[18],[2],"[5, 8, 11, 14]",[5]
47,[1],[0],[4],"[5, 8, 11, 14]",[5]
146,[0],[10],[4],"[5, 8, 11, 14]",[5]
327,[1],[0],[5],"[5, 8, 11, 14]",[5]
73,[1],[17],[3],"[5, 8, 11, 14]",[5]
157,[1],[3],[5],"[5, 8, 11, 14]",[5]
321,[1],[18],[2],"[5, 8, 11, 14]",[5]
178,[1],[5],[1],"[5, 8, 11, 14]",[5]
330,[1],[5],[3],"[5, 8, 11, 14]",[5]
328,[1],[3],[4],"[5, 8, 11, 14]",[5]
333,[1],[10],[3],"[5, 8, 11, 14]",[5]
30,[1],[1],[2],"[5, 8, 11, 14]",[5]
331,[1],[18],[2],"[5, 8, 11, 14]",[5]
